		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  243  225  267  247  204  235  224  226 14.088519 0.079487 SUCCESS   0
000000011  239  228  240  248  238  248  232  206  8.352067 0.399856 SUCCESS   1
000000101  256  241  259  263  214  207  271  250 15.975956 0.042726 SUCCESS   2
000000111  247  239  226  236  222  235  234  219  7.353272 0.499041 SUCCESS   3
000001001  237  241  244  251  229  225  256  234  4.007361 0.856459 SUCCESS   4
000001011  251  240  249  229  246  245  247  217  4.512584 0.808173 SUCCESS   5
000001101  245  228  244  250  261  248  204  231 10.072155 0.259998 SUCCESS   6
000001111  223  225  254  253  226  229  242  217  9.684500 0.287872 SUCCESS   7
000010001  261  219  233  234  227  236  219  226 10.428035 0.236259 SUCCESS   8
000010011  221  245  233  250  222  240  220  218 10.442864 0.235307 SUCCESS   9
000010101  213  238  235  249  242  228  258  275 10.691768 0.219783 SUCCESS  10
000010111  239  246  239  236  239  231  253  224  3.407872 0.906221 SUCCESS  11
000011001  236  214  261  249  267  242  224  219 12.058094 0.148631 SUCCESS  12
000011011  214  251  255  247  258  251  224  251  7.513206 0.482403 SUCCESS  13
000011101  226  235  226  229  241  240  239  257  5.032635 0.754082 SUCCESS  14
000011111  229  255  256  235  247  273  247  223  7.913571 0.441958 SUCCESS  15
000100011  268  216  230  225  252  239  229  247  9.539394 0.298853 SUCCESS  16
000100101  263  274  237  249  253  218  258  267 11.864267 0.157363 SUCCESS  17
000100111  229  237  232  258  221  259  230  230  7.516383 0.482076 SUCCESS  18
000101001  248  284  246  225  234  236  253  247  9.447246 0.305982 SUCCESS  19
000101011  235  271  236  240  232  236  228  269  8.390197 0.396312 SUCCESS  20
000101101  270  258  237  245  257  262  235  263  7.788590 0.454389 SUCCESS  21
000101111  253  241  221  247  236  241  242  237  3.230991 0.919036 SUCCESS  22
000110011  249  221  280  239  245  230  216  246 12.144946 0.144853 SUCCESS  23
000110101  241  207  232  256  252  231  243  288 16.254517 0.038879 SUCCESS  24
000110111  218  240  269  263  257  221  216  244 13.413829 0.098382 SUCCESS  25
000111001  236  256  253  225  250  264  270  238  7.575697 0.475974 SUCCESS  26
000111011  253  230  234  245  242  243  247  246  1.690961 0.989066 SUCCESS  27
000111101  255  209  240  258  235  239  247  235  7.467662 0.487115 SUCCESS  28
000111111  230  240  251  235  267  259  235  226  6.369305 0.605938 SUCCESS  29
001000011  229  250  227  251  247  260  234  237  4.310283 0.828100 SUCCESS  30
001000101  251  234  257  233  220  260  249  270  8.331943 0.401735 SUCCESS  31
001000111  234  225  234  234  247  256  221  246  5.765579 0.673471 SUCCESS  32
001001011  242  271  227  262  249  222  253  260  9.251300 0.321542 SUCCESS  33
001001101  240  244  237  265  248  257  241  237  3.155790 0.924204 SUCCESS  34
001001111  237  241  249  281  211  251  252  239 11.341038 0.183114 SUCCESS  35
001010011  273  264  241  222  239  224  270  245 11.988189 0.151732 SUCCESS  36
001010101  233  248  218  248  254  232  242  273  8.130701 0.420808 SUCCESS  37
001010111  241  248  277  236  240  220  231  248  8.294872 0.405209 SUCCESS  38
001011011  251  273  242  234  281  254  272  239 13.763354 0.088146 SUCCESS  39
001011101  249  220  234  247  242  277  260  250  8.847757 0.355301 SUCCESS  40
001011111  265  257  240  256  231  244  256  238  4.704293 0.788663 SUCCESS  41
001100101  244  230  250  242  267  264  263  251  6.610795 0.579146 SUCCESS  42
001100111  248  219  253  236  238  211  225  262 11.062477 0.198184 SUCCESS  43
001101011  236  217  237  247  268  245  248  285 13.207291 0.104914 SUCCESS  44
001101101  245  274  249  219  254  292  260  252 18.013794 0.021123 SUCCESS  45
001101111  227  244  237  272  225  241  241  253  6.715653 0.567599 SUCCESS  46
001110101  247  240  256  232  245  251  239  219  4.316638 0.827485 SUCCESS  47
001110111  234  244  230  231  209  243  260  240  8.381723 0.397098 SUCCESS  48
001111011  244  212  240  260  240  247  248  249  5.783585 0.671459 SUCCESS  49
001111101  230  233  254  238  262  244  234  229  4.698997 0.789210 SUCCESS  50
001111111  256  252  228  229  232  243  234  282 10.071096 0.260071 SUCCESS  51
010000011  235  234  263  260  249  273  233  235  7.874382 0.445836 SUCCESS  52
010000111  261  258  224  237  267  252  237  232  7.270657 0.507732 SUCCESS  53
010001011  249  230  238  257  213  256  241  262  7.904039 0.442900 SUCCESS  54
010001111  226  218  246  244  252  241  229  238  5.730627 0.677376 SUCCESS  55
010010011  235  265  248  241  248  277  254  257  8.061855 0.427451 SUCCESS  56
010010111  248  265  220  242  244  232  241  249  5.159735 0.740375 SUCCESS  57
010011011  242  265  242  250  242  225  262  242  4.972263 0.760537 SUCCESS  58
010011111  249  245  218  235  235  239  238  256  4.568720 0.802519 SUCCESS  59
010100011  230  211  259  225  267  239  265  238 12.314413 0.137717 SUCCESS  60
010100111  275  245  250  227  239  258  275  254 10.809336 0.212738 SUCCESS  61
010101011  262  259  231  238  247  237  256  269  6.648925 0.574940 SUCCESS  62
010101111  237  246  262  231  267  247  243  239  4.682051 0.790955 SUCCESS  63
010110011  260  236  240  250  240  214  258  242  6.317406 0.611724 SUCCESS  64
010110111  251  261  232  270  271  224  249  262 11.096370 0.196298 SUCCESS  65
010111011  250  229  266  225  225  249  231  260  8.140233 0.419893 SUCCESS  66
010111111  240  252  230  258  252  256  269  221  7.743045 0.458964 SUCCESS  67
011000111  241  233  254  256  256  225  259  239  4.772080 0.781636 SUCCESS  68
011001111  237  228  245  244  229  213  232  246  7.031285 0.533261 SUCCESS  69
011010111  238  228  244  256  255  274  250  261  7.493082 0.484483 SUCCESS  70
011011111  249  265  223  246  252  243  267  253  6.671168 0.572490 SUCCESS  71
011101111  236  243  238  254  202  263  241  259 10.863353 0.209563 SUCCESS  72
011111111  248  248  218  254  227  229  231  292 16.083991 0.041194 SUCCESS  73
100000000  243  225  267  247  204  235  224  226 14.088519 0.079487 SUCCESS  74
100010000  236  254  237  232  230  257  240  222  5.224345 0.733351 SUCCESS  75
100100000  226  239  257  261  252  240  235  222  6.173359 0.627820 SUCCESS  76
100101000  249  240  219  239  258  223  252  244  5.927632 0.655338 SUCCESS  77
100110000  247  252  252  258  230  205  232  255  9.830665 0.277113 SUCCESS  78
100111000  272  247  251  200  254  242  239  230 13.164925 0.106300 SUCCESS  79
101000000  242  242  239  255  224  226  284  219 13.169161 0.106160 SUCCESS  80
101000100  243  261  223  266  264  237  257  278 12.582382 0.127049 SUCCESS  81
101001000  243  207  248  260  255  271  229  261 12.712660 0.122126 SUCCESS  82
101001100  233  271  240  249  243  268  231  243  6.912658 0.546085 SUCCESS  83
101010000  227  226  232  253  244  255  259  246  5.044286 0.752832 SUCCESS  84
101010100  230  246  230  252  261  242  239  249  3.405754 0.906380 SUCCESS  85
101011000  242  244  223  240  233  223  248  241  4.501992 0.809234 SUCCESS  86
101011100  248  249  274  264  230  272  226  226 12.540016 0.128687 SUCCESS  87
101100000  238  232  243  244  218  246  233  257  4.920363 0.766053 SUCCESS  88
101100100  256  262  213  228  257  254  241  235  8.666640 0.371193 SUCCESS  89
101101000  217  270  239  242  274  239  228  269 13.699804 0.089933 SUCCESS  90
101101100  260  238  259  233  242  250  242  250  3.019157 0.933150 SUCCESS  91
101110000  214  269  243  234  242  239  230  232  8.504587 0.385793 SUCCESS  92
101110100  255  243  259  223  255  236  250  232  4.884352 0.769862 SUCCESS  93
101111000  251  228  247  239  212  263  247  255  7.865909 0.446677 SUCCESS  94
101111100  256  255  246  249  241  231  253  256  2.916418 0.939493 SUCCESS  95
110000000  241  226  259  243  217  247  226  219  9.594470 0.294650 SUCCESS  96
110000010  239  261  243  235  241  231  235  221  5.065469 0.750556 SUCCESS  97
110000100  261  261  246  250  263  228  253  238  5.677668 0.683286 SUCCESS  98
110001000  261  243  255  219  236  263  247  254  6.624564 0.577626 SUCCESS  99
110001010  230  239  256  220  239  242  237  218  7.256887 0.509187 SUCCESS 100
110010000  238  237  250  265  263  234  238  226  5.860904 0.662809 SUCCESS 101
110010010  235  267  226  232  268  268  226  240 10.878182 0.208698 SUCCESS 102
110010100  239  237  230  259  259  244  262  250  4.546477 0.804765 SUCCESS 103
110011000  235  233  255  249  233  215  268  246  8.026902 0.430847 SUCCESS 104
110011010  246  251  279  247  264  235  240  262  8.855171 0.354661 SUCCESS 105
110100000  246  260  221  254  242  246  251  228  5.097244 0.747134 SUCCESS 106
110100010  252  267  225  281  252  251  239  298 22.661422 0.003827 FAILURE 107
110100100  249  224  247  237  238  282  228  246  9.419708 0.308136 SUCCESS 108
110101000  239  228  250  248  244  255  259  254  3.274417 0.915975 SUCCESS 109
110101010  259  257  243  242  254  247  253  245  2.449325 0.964052 SUCCESS 110
110101100  257  237  239  251  230  244  244  252  2.337053 0.968897 SUCCESS 111
110110000  247  219  262  254  237  257  263  257  7.605354 0.472937 SUCCESS 112
110110010  237  271  230  242  241  227  259  237  6.575843 0.583008 SUCCESS 113
110110100  238  265  232  239  271  256  248  244  6.460393 0.595804 SUCCESS 114
110111000  206  255  234  243  256  218  227  243 11.835669 0.158688 SUCCESS 115
110111010  253  245  273  230  255  234  271  237  8.925076 0.348656 SUCCESS 116
110111100  230  254  247  252  242  268  224  259  6.643629 0.575524 SUCCESS 117
111000000  239  239  253  237  230  233  226  215  7.126610 0.523036 SUCCESS 118
111000010  236  259  211  238  260  230  253  252  8.534244 0.383095 SUCCESS 119
111000100  257  257  242  234  217  229  246  241  6.000714 0.647152 SUCCESS 120
111000110  254  211  274  265  251  241  222  237 13.220001 0.104501 SUCCESS 121
111001000  234  249  242  266  256  232  240  237  4.088917 0.849013 SUCCESS 122
111001010  236  243  216  259  255  232  248  270  8.597794 0.377352 SUCCESS 123
111001100  222  248  240  262  235  240  256  244  4.585666 0.800803 SUCCESS 124
111010000  233  242  242  220  236  247  262  221  6.962439 0.540691 SUCCESS 125
111010010  253  218  265  230  217  246  234  258 10.298817 0.244676 SUCCESS 126
111010100  235  234  244  274  242  247  267  275 10.878182 0.208698 SUCCESS 127
111010110  257  227  228  244  238  252  256  235  4.418318 0.817548 SUCCESS 128
111011000  277  223  257  265  239  259  243  269 12.693595 0.122836 SUCCESS 129
111011010  232  254  239  278  253  251  250  237  6.904185 0.547005 SUCCESS 130
111011100  228  263  240  236  233  210  217  242 11.557108 0.172085 SUCCESS 131
111100000  241  235  265  237  251  240  245  245  2.734241 0.949913 SUCCESS 132
111100010  224  242  247  235  214  231  251  237  7.112841 0.524508 SUCCESS 133
111100100  239  235  233  241  249  251  220  247  3.831539 0.871994 SUCCESS 134
111100110  221  249  229  255  242  255  249  244  4.457507 0.813669 SUCCESS 135
111101000  237  229  217  247  225  252  257  242  6.870291 0.550690 SUCCESS 136
111101010  224  229  246  271  260  259  237  252  8.242972 0.410103 SUCCESS 137
111101100  271  240  228  244  232  236  253  247  5.505024 0.702483 SUCCESS 138
111101110  237  232  253  261  266  237  239  247  4.766784 0.782187 SUCCESS 139
111110000  242  244  237  256  272  227  256  232  6.586434 0.581837 SUCCESS 140
111110010  240  254  226  239  236  244  236  267  4.764666 0.782407 SUCCESS 141
111110100  254  226  236  214  240  245  234  247  6.474162 0.594275 SUCCESS 142
111110110  235  258  217  252  241  251  249  258  5.706266 0.680096 SUCCESS 143
111111000  240  230  245  255  248  235  245  198 10.854880 0.210058 SUCCESS 144
111111010  256  243  214  240  250  257  251  245  5.571752 0.695078 SUCCESS 145
111111100  236  238  239  233  243  250  257  262  3.281831 0.915447 SUCCESS 146
111111110  248  248  218  254  227  229  231  292 16.083991 0.041194 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
